,0
498,0.694
499,0.2799999999999999
500,0.0
501,0.784
502,0.0
503,0.856
504,0.0
505,0.712
506,0.802
507,0.73
508,0.586
509,0.3879999999999999
510,0.33399999999999996
511,0.0
512,0.0
513,0.4059999999999999
514,0.0
515,0.0
516,0.478
517,0.42399999999999993
518,0.0
519,0.784
520,0.0
521,0.0
522,0.0
523,0.0
524,0.856
525,0.874
526,0.694
527,0.0
528,0.4959999999999999
529,0.0
530,0.4059999999999999
531,0.0
532,0.33399999999999996
533,0.0
534,0.0
535,0.29799999999999993
536,0.838
537,0.604
538,0.0
539,0.748
540,0.802
541,0.0
542,0.0
543,0.42399999999999993
544,0.0
545,0.0
546,0.0
547,0.0
548,0.3879999999999999
549,0.748
550,0.37
551,0.0
552,0.748
553,0.0
554,0.802
555,0.784
556,0.0
557,0.784
558,0.0
559,0.712
560,0.0
561,0.0
562,0.478
563,0.0
564,0.838
565,0.42399999999999993
566,0.622
567,0.766
568,0.0
569,0.784
570,0.0
571,0.0
572,0.604
573,0.0
574,0.0
575,0.802
576,0.748
577,0.0
578,0.82
579,0.73
580,0.604
581,0.0
582,0.748
583,0.3879999999999999
584,0.0
585,0.766
586,0.0
587,0.45999999999999996
588,0.586
589,0.0
590,0.244
591,0.604
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.784
598,0.0
599,0.6759999999999999
600,0.0
601,0.838
602,0.31599999999999995
603,0.5680000000000001
604,0.17199999999999993
605,0.0
606,0.0
607,0.0
608,0.6579999999999999
609,0.622
610,0.73
611,0.3879999999999999
612,0.118
613,0.784
614,0.0
615,0.0
616,0.0
617,0.352
618,0.748
619,0.6759999999999999
620,0.0
621,0.0
622,0.82
623,0.784
624,0.0
625,0.0
626,0.766
627,0.586
628,0.514
629,0.802
630,0.694
631,0.0
632,0.0
633,0.0
634,0.0
635,0.17199999999999993
636,0.0
637,0.0
638,0.586
639,0.0
640,0.262
641,0.31599999999999995
642,0.694
643,0.3879999999999999
644,0.33399999999999996
645,0.0
646,0.20799999999999996
647,0.0
648,0.0
649,0.37
650,0.0
651,0.5680000000000001
652,0.0
653,0.6759999999999999
654,0.55
655,0.82
656,0.18999999999999995
657,0.0
658,0.0
659,0.0
660,0.784
661,0.0
662,0.0
663,0.29799999999999993
664,0.0
665,0.0
666,0.478
667,0.478
668,0.0
669,0.0
670,0.0
671,0.244
672,0.0
673,0.0
674,0.0
675,0.31599999999999995
676,0.4059999999999999
677,0.73
678,0.0
679,0.0
680,0.0
681,0.6399999999999999
682,0.0
683,0.0
684,0.33399999999999996
685,0.748
686,0.0
687,0.0
688,0.0
689,0.514
690,0.6399999999999999
691,0.748
692,0.0
693,0.766
694,0.20799999999999996
695,0.0
696,0.0
697,0.0
698,0.874
699,0.856
700,0.0
701,0.0
702,0.18999999999999995
703,0.838
704,0.262
705,0.82
706,0.20799999999999996
707,0.0
708,0.0
709,0.784
710,0.784
711,0.73
712,0.0
713,0.0
714,0.0
715,0.82
716,0.766
717,0.802
718,0.874
719,0.73
720,0.0
721,0.6759999999999999
722,0.5680000000000001
723,0.0
724,0.0
725,0.694
726,0.532
727,0.0
728,0.45999999999999996
729,0.856
730,0.136
731,0.0
732,0.0
733,0.31599999999999995
734,0.766
735,0.838
736,0.0
737,0.0
738,0.0
739,0.586
740,0.0
741,0.0
742,0.0
